Source,Target,Source Name,Target Name,Common Users,Source Population,Target Population,Total Population,Exposure,Phi-Correlation,T-Test,P-values,Over-expression
msa,eus,Malay (macrolanguage),Basque,67,1651705,1950,17694811,0.034358974,-0.002128608,-2.735663664,0.003112764,0.368089675
ell,fra,Modern Greek (1453-),French,67,30609,147843,17694811,0.000453183,-0.002819967,-1.084284504,0.139120221,0.26198162
fra,ell,French,Modern Greek (1453-),67,147843,30609,17694811,0.002188899,-0.002819967,-1.084284504,0.139120221,0.26198162
fil,rus,Filipino (macrolanguage),Russian,65,257611,243159,17694811,0.000267315,-0.014083882,-7.149011127,4.38E-13,0.018361347
rus,fil,Russian,Filipino (macrolanguage),65,243159,257611,17694811,0.000252318,-0.014083882,-7.149011127,4.38E-13,0.018361347
jpn,nld,Japanese,Dutch,65,2602426,435128,17694811,0.000149381,-0.06586596,-106.4864041,0,0.001015696
nld,jpn,Dutch,Japanese,65,435128,2602426,17694811,2.50E-05,-0.06586596,-106.4864041,0,0.001015696
ces,hbs,Czech,Serbo-Croatian,64,24573,8152,17694811,0.007850834,0.003725461,0.583975197,0.27962118,5.653319761
hbs,ces,Serbo-Croatian,Czech,64,8152,24573,17694811,0.002604485,0.003725461,0.583975197,0.27962118,5.653319761
nld,nor,Dutch,Norwegian,64,435128,16500,17694811,0.003878788,-0.004085668,-2.695095629,0.003518557,0.157733859
nor,nld,Norwegian,Dutch,64,16500,435128,17694811,0.000147083,-0.004085668,-2.695095629,0.003518557,0.157733859
por,swa,Portuguese,Swahili (macrolanguage),62,1617409,5636,17694811,0.01100071,-0.004980162,-6.333715529,1.20E-10,0.120350189
swa,por,Swahili (macrolanguage),Portuguese,62,5636,1617409,17694811,3.83E-05,-0.004980162,-6.333715529,1.20E-10,0.120350189
lav,spa,Latvian,Spanish,62,13573,2043468,17694811,3.03E-05,-0.009615293,-13.74568217,2.72E-43,0.03955432
spa,lav,Spanish,Latvian,62,2043468,13573,17694811,0.004567892,-0.009615293,-13.74568217,2.72E-43,0.03955432
fil,pol,Filipino (macrolanguage),Polish,61,257611,8207,17694811,0.007432679,-0.001281545,-0.650451421,0.257700626,0.510536652
pol,fil,Polish,Filipino (macrolanguage),61,8207,257611,17694811,0.000236791,-0.001281545,-0.650451421,0.257700626,0.510536652
hun,spa,Hungarian,Spanish,61,4804,2043468,17694811,2.99E-05,-0.005299792,-7.576151103,1.78E-14,0.109952453
spa,hun,Spanish,Hungarian,61,2043468,4804,17694811,0.012697752,-0.005299792,-7.576151103,1.78E-14,0.109952453
jpn,vie,Japanese,Vietnamese,61,2602426,6150,17694811,0.009918699,-0.007220658,-11.6486911,1.17E-31,0.067440729
vie,jpn,Vietnamese,Japanese,61,6150,2602426,17694811,2.34E-05,-0.007220658,-11.6486911,1.17E-31,0.067440729
jpn,lao,Japanese,Lao,60,2602426,91,17694811,0.659340659,0.003279999,5.29133293,6.07E-08,4.483089376
lao,jpn,Lao,Japanese,60,91,2602426,17694811,2.31E-05,0.003279999,5.29133293,6.07E-08,4.483089376
afr,spa,Afrikaans,Spanish,60,24782,2043468,17694811,2.94E-05,-0.013248171,-18.93990268,2.72E-80,0.020964909
spa,afr,Spanish,Afrikaans,60,2043468,24782,17694811,0.002421112,-0.013248171,-18.93990268,2.72E-80,0.020964909
ita,ron,Italian,Romanian,59,89242,5040,17694811,0.011706349,0.001587658,0.474282694,0.317649746,2.321122753
ron,ita,Romanian,Italian,59,5040,89242,17694811,0.000661124,0.001587658,0.474282694,0.317649746,2.321122753
jpn,kat,Japanese,Georgian,59,2602426,416,17694811,0.141826923,-7.18E-05,-0.115855469,0.453883549,0.964331204
kat,jpn,Georgian,Japanese,59,416,2602426,17694811,2.27E-05,-7.18E-05,-0.115855469,0.453883549,0.964331204
dan,kor,Danish,Korean,58,12029,289982,17694811,0.000200012,-0.002376069,-1.279511568,0.100358996,0.294220789
kor,dan,Korean,Danish,58,289982,12029,17694811,0.004821681,-0.002376069,-1.279511568,0.100358996,0.294220789
hye,rus,Armenian,Russian,57,253,243159,17694811,0.000234415,0.006871403,3.388434019,0.00035152,16.39494311
rus,hye,Russian,Armenian,57,243159,253,17694811,0.225296443,0.006871403,3.388434019,0.00035152,16.39494311
fil,fin,Filipino (macrolanguage),Finnish,57,257611,3856,17694811,0.014782158,2.76E-05,0.013988221,0.494419695,1.015358375
fin,fil,Finnish,Filipino (macrolanguage),57,3856,257611,17694811,0.000221264,2.76E-05,0.013988221,0.494419695,1.015358375
lit,spa,Lithuanian,Spanish,56,696,2043468,17694811,2.74E-05,-0.000687298,-0.982492216,0.162928766,0.696717749
spa,lit,Spanish,Lithuanian,56,2043468,696,17694811,0.08045977,-0.000687298,-0.982492216,0.162928766,0.696717749
fra,slk,French,Slovak,54,147843,3657,17694811,0.014766202,0.001012645,0.389363369,0.348503963,1.76731499
slk,fra,Slovak,French,54,3657,147843,17694811,0.000365252,0.001012645,0.389363369,0.348503963,1.76731499
nld,rus,Dutch,Russian,54,435128,243159,17694811,0.000222077,-0.018572874,-12.25353926,8.15E-35,0.009030927
rus,nld,Russian,Dutch,54,243159,435128,17694811,0.000124101,-0.018572874,-12.25353926,8.15E-35,0.009030927
hbs,slk,Serbo-Croatian,Slovak,53,8152,3657,17694811,0.014492754,0.009401488,0.848778897,0.198014629,31.45811288
slk,hbs,Slovak,Serbo-Croatian,53,3657,8152,17694811,0.006501472,0.009401488,0.848778897,0.198014629,31.45811288
deu,nor,German,Norwegian,53,73897,16500,17694811,0.003212121,-0.000456721,-0.124153287,0.450597123,0.769150003
nor,deu,Norwegian,German,53,16500,73897,17694811,0.000717215,-0.000456721,-0.124153287,0.450597123,0.769150003
cat,nld,Catalan,Dutch,53,32376,435128,17694811,0.000121803,-0.006345414,-4.185778234,1.42E-05,0.066570463
nld,cat,Dutch,Catalan,53,435128,32376,17694811,0.001637015,-0.006345414,-4.185778234,1.42E-05,0.066570463
eng,lao,English,Lao,52,10859465,91,17694811,0.571428571,-0.000196925,-0.648939204,0.258188844,0.931106696
lao,eng,Lao,English,52,91,10859465,17694811,4.79E-06,-0.000196925,-0.648939204,0.258188844,0.931106696
lit,msa,Lithuanian,Malay (macrolanguage),52,696,1651705,17694811,3.15E-05,-0.000401671,-0.516222444,0.302849563,0.800400864
msa,lit,Malay (macrolanguage),Lithuanian,52,1651705,696,17694811,0.074712644,-0.000401671,-0.516222444,0.302849563,0.800400864
ron,rus,Romanian,Russian,52,5040,243159,17694811,0.000213852,-0.000496497,-0.244827458,0.40329512,0.750807128
rus,ron,Russian,Romanian,52,243159,5040,17694811,0.01031746,-0.000496497,-0.244827458,0.40329512,0.750807128
msa,slv,Malay (macrolanguage),Slovenian,51,1651705,2230,17694811,0.022869955,-0.002719704,-3.495338772,0.000236736,0.24500715
slv,msa,Slovenian,Malay (macrolanguage),51,2230,1651705,17694811,3.09E-05,-0.002719704,-3.495338772,0.000236736,0.24500715
ell,fil,Modern Greek (1453-),Filipino (macrolanguage),51,30609,257611,17694811,0.000197973,-0.0044806,-2.274160229,0.011478587,0.114446512
fil,ell,Filipino (macrolanguage),Modern Greek (1453-),51,257611,30609,17694811,0.001666177,-0.0044806,-2.274160229,0.011478587,0.114446512
deu,swe,German,Swedish,49,73897,36604,17694811,0.001338652,-0.002003328,-0.544578344,0.293022598,0.320543263
swe,deu,Swedish,German,49,36604,73897,17694811,0.000663085,-0.002003328,-0.544578344,0.293022598,0.320543263
ell,ita,Modern Greek (1453-),Italian,49,30609,89242,17694811,0.000549069,-0.002022999,-0.604333105,0.272811869,0.317412169
ita,ell,Italian,Modern Greek (1453-),49,89242,30609,17694811,0.001600836,-0.002022999,-0.604333105,0.272811869,0.317412169
swe,tur,Swedish,Turkish,49,36604,233158,17694811,0.000210158,-0.004726576,-2.282310901,0.011235944,0.101592849
tur,swe,Turkish,Swedish,49,233158,36604,17694811,0.001338652,-0.004726576,-2.282310901,0.011235944,0.101592849
afr,por,Afrikaans,Portuguese,49,24782,1617409,17694811,3.03E-05,-0.011621281,-14.78063203,9.84E-50,0.021631458
por,afr,Portuguese,Afrikaans,49,1617409,24782,17694811,0.001977242,-0.011621281,-14.78063203,9.84E-50,0.021631458
lit,por,Lithuanian,Portuguese,48,696,1617409,17694811,2.97E-05,-0.000488368,-0.621093527,0.267269088,0.754497961
por,lit,Portuguese,Lithuanian,48,1617409,696,17694811,0.068965517,-0.000488368,-0.621093527,0.267269088,0.754497961
nld,slk,Dutch,Slovak,48,435128,3657,17694811,0.013125513,-0.001064356,-0.70209321,0.241310706,0.533758955
slk,nld,Slovak,Dutch,48,3657,435128,17694811,0.000110312,-0.001064356,-0.70209321,0.241310706,0.533758955
ell,pan,Modern Greek (1453-),Panjabi,47,30609,218,17694811,0.21559633,0.018064464,3.160867729,0.000787266,47
pan,ell,Panjabi,Modern Greek (1453-),47,218,30609,17694811,0.001535496,0.018064464,3.160867729,0.000787266,47
fra,tha,French,Thai,47,147843,154171,17694811,0.000304856,-0.008291545,-3.255734051,0.00056562,0.036487183
tha,fra,Thai,French,47,154171,147843,17694811,0.000317905,-0.008291545,-3.255734051,0.00056562,0.036487183
por,swe,Portuguese,Swedish,47,1617409,36604,17694811,0.001284013,-0.014238001,-18.1093429,1.37E-73,0.014047382
swe,por,Swedish,Portuguese,47,36604,1617409,17694811,2.91E-05,-0.014238001,-18.1093429,1.37E-73,0.014047382
cat,ces,Catalan,Czech,46,32376,24573,17694811,0.001871973,3.69E-05,0.006638881,0.497351509,1.023110138
ces,cat,Czech,Catalan,46,24573,32376,17694811,0.001420806,3.69E-05,0.006638881,0.497351509,1.023110138
ces,tur,Czech,Turkish,45,24573,233158,17694811,0.000193002,-0.003710257,-1.79155557,0.036602741,0.138979242
tur,ces,Turkish,Czech,45,233158,24573,17694811,0.001831278,-0.003710257,-1.79155557,0.036602741,0.138979242
ces,glg,Czech,Galician,44,24573,9302,17694811,0.004730166,0.002057834,0.3225691,0.373512171,3.406152505
glg,ces,Galician,Czech,44,9302,24573,17694811,0.001790583,0.002057834,0.3225691,0.373512171,3.406152505
cat,deu,Catalan,German,44,32376,73897,17694811,0.000595423,-0.001870324,-0.508422939,0.305579143,0.325423271
deu,cat,German,Catalan,44,73897,32376,17694811,0.001359031,-0.001870324,-0.508422939,0.305579143,0.325423271
dan,tur,Danish,Turkish,44,12029,233158,17694811,0.000188713,-0.002177208,-1.05129424,0.146562281,0.27759955
tur,dan,Turkish,Danish,44,233158,12029,17694811,0.003657827,-0.002177208,-1.05129424,0.146562281,0.27759955
deu,ell,German,Modern Greek (1453-),43,73897,30609,17694811,0.001404816,-0.001788925,-0.486295492,0.313379558,0.336386404
ell,deu,Modern Greek (1453-),German,43,30609,73897,17694811,0.000581891,-0.001788925,-0.486295492,0.313379558,0.336386404
ara,ell,Arabic,Modern Greek (1453-),43,366643,30609,17694811,0.001404816,-0.005644593,-3.417905382,0.000315559,0.067798775
ell,ara,Modern Greek (1453-),Arabic,43,30609,366643,17694811,0.00011728,-0.005644593,-3.417905382,0.000315559,0.067798775
bel,eng,Belarusian,English,42,256,10859465,17694811,3.87E-06,-0.003512634,-11.57549859,2.74E-31,0.267329461
eng,bel,English,Belarusian,42,10859465,256,17694811,0.1640625,-0.003512634,-11.57549859,2.74E-31,0.267329461
afr,fra,Afrikaans,French,42,24782,147843,17694811,0.000284085,-0.002740269,-1.053640163,0.146024708,0.202842101
fra,afr,French,Afrikaans,42,147843,24782,17694811,0.001694778,-0.002740269,-1.053640163,0.146024708,0.202842101
slv,spa,Slovenian,Spanish,42,2230,2043468,17694811,2.06E-05,-0.003395038,-4.853229831,6.07E-07,0.163088191
spa,slv,Spanish,Slovenian,42,2043468,2230,17694811,0.018834081,-0.003395038,-4.853229831,6.07E-07,0.163088191
eng,guj,English,Gujarati,41,10859465,66,17694811,0.621212121,2.98E-05,0.098074622,0.460936521,1.012225839
guj,eng,Gujarati,English,41,66,10859465,17694811,3.78E-06,2.98E-05,0.098074622,0.460936521,1.012225839
cat,eus,Catalan,Basque,40,32376,1950,17694811,0.020512821,0.004589623,0.825809253,0.204459195,11.21109717
eus,cat,Basque,Catalan,40,1950,32376,17694811,0.001235483,0.004589623,0.825809253,0.204459195,11.21109717
deu,hbs,German,Serbo-Croatian,40,73897,8152,17694811,0.004906771,0.000243216,0.066115001,0.473643223,1.174937975
hbs,deu,Serbo-Croatian,German,40,8152,73897,17694811,0.000541294,0.000243216,0.066115001,0.473643223,1.174937975
fra,nor,French,Norwegian,39,147843,16500,17694811,0.002363636,-0.00201096,-0.773217696,0.219697396,0.28289536
nor,fra,Norwegian,French,39,16500,147843,17694811,0.000263793,-0.00201096,-0.773217696,0.219697396,0.28289536
slk,slv,Slovak,Slovenian,38,3657,2230,17694811,0.017040359,0.013147448,0.794918682,0.213356196,38
slv,slk,Slovenian,Slovak,38,2230,3657,17694811,0.010391031,0.013147448,0.794918682,0.213356196,38
fil,nor,Filipino (macrolanguage),Norwegian,38,257611,16500,17694811,0.00230303,-0.003125929,-1.586579098,0.056304616,0.158190784
nor,fil,Norwegian,Filipino (macrolanguage),38,16500,257611,17694811,0.000147509,-0.003125929,-1.586579098,0.056304616,0.158190784
msa,sin,Malay (macrolanguage),Sinhala,37,1651705,169,17694811,0.218934911,0.001334185,1.714677264,0.043202301,2.345462341
sin,msa,Sinhala,Malay (macrolanguage),37,169,1651705,17694811,2.24E-05,0.001334185,1.714677264,0.043202301,2.345462341
ara,mlt,Arabic,Maltese,36,366643,1156,17694811,0.031141869,0.000591355,0.358070777,0.360145277,1.502959221
mlt,ara,Maltese,Arabic,36,1156,366643,17694811,9.82E-05,0.000591355,0.358070777,0.360145277,1.502959221
ita,swe,Italian,Swedish,36,89242,36604,17694811,0.000983499,-0.002609412,-0.779513885,0.217839564,0.195007174
swe,ita,Swedish,Italian,36,36604,89242,17694811,0.000403398,-0.002609412,-0.779513885,0.217839564,0.195007174
nld,pol,Dutch,Polish,35,435128,8207,17694811,0.004264652,-0.00282712,-1.864890978,0.03109868,0.173425322
pol,nld,Polish,Dutch,35,8207,435128,17694811,8.04E-05,-0.00282712,-1.864890978,0.03109868,0.173425322
jpn,tam,Japanese,Tamil,35,2602426,1432,17694811,0.024441341,-0.003114913,-5.025011566,2.52E-07,0.166185285
tam,jpn,Tamil,Japanese,35,1432,2602426,17694811,1.34E-05,-0.003114913,-5.025011566,2.52E-07,0.166185285
pol,por,Polish,Portuguese,35,8207,1617409,17694811,2.16E-05,-0.006513606,-8.284005642,5.96E-17,0.046656234
por,pol,Portuguese,Polish,35,1617409,8207,17694811,0.004264652,-0.006513606,-8.284005642,5.96E-17,0.046656234
spa,zho,Spanish,Chinese,35,2043468,24113,17694811,0.001451499,-0.013179949,-18.84235366,1.72E-79,0.012568831
zho,spa,Chinese,Spanish,35,24113,2043468,17694811,1.71E-05,-0.013179949,-18.84235366,1.72E-79,0.012568831
bul,ukr,Bulgarian,Ukrainian,34,1633,2842,17694811,0.011963406,0.01566266,0.834791415,0.201952663,34
ukr,bul,Ukrainian,Bulgarian,34,2842,1633,17694811,0.020820576,0.01566266,0.834791415,0.201952663,34
ita,slk,Italian,Slovak,34,89242,3657,17694811,0.009297238,0.000863379,0.257917975,0.398235403,1.843446721
slk,ita,Slovak,Italian,34,3657,89242,17694811,0.000380987,0.000863379,0.257917975,0.398235403,1.843446721
cat,tur,Catalan,Turkish,34,32376,233158,17694811,0.000145824,-0.004553012,-2.198500749,0.01395721,0.079698717
tur,cat,Turkish,Catalan,34,233158,32376,17694811,0.001050161,-0.004553012,-2.198500749,0.01395721,0.079698717
div,eng,Dhivehi,English,33,44,10859465,17694811,3.04E-06,0.0004414,1.454577042,0.07289321,1.222077538
eng,div,English,Dhivehi,33,10859465,44,17694811,0.75,0.0004414,1.454577042,0.07289321,1.222077538
kor,nld,Korean,Dutch,33,289982,435128,17694811,7.58E-05,-0.020399911,-13.45941459,1.38E-41,0.00462777
nld,kor,Dutch,Korean,33,435128,289982,17694811,0.0001138,-0.020399911,-13.45941459,1.38E-41,0.00462777
jpn,tur,Japanese,Turkish,32,2602426,233158,17694811,0.000137246,-0.047938813,-77.42405434,0,0.000933184
tur,jpn,Turkish,Japanese,32,233158,2602426,17694811,1.23E-05,-0.047938813,-77.42405434,0,0.000933184
deu,slk,German,Slovak,31,73897,3657,17694811,0.008476894,0.00095883,0.260644963,0.397183519,2.029812179
slk,deu,Slovak,German,31,3657,73897,17694811,0.000419503,0.00095883,0.260644963,0.397183519,2.029812179
fil,mlt,Filipino (macrolanguage),Maltese,31,257611,1156,17694811,0.026816609,0.000827212,0.419853177,0.337296532,1.841982011
mlt,fil,Maltese,Filipino (macrolanguage),31,1156,257611,17694811,0.000120336,0.000827212,0.419853177,0.337296532,1.841982011
fra,hbs,French,Serbo-Croatian,31,147843,8152,17694811,0.003802748,-0.001073731,-0.412850758,0.33985828,0.455137568
hbs,fra,Serbo-Croatian,French,31,8152,147843,17694811,0.000209682,-0.001073731,-0.412850758,0.33985828,0.455137568
rus,tha,Russian,Thai,31,243159,154171,17694811,0.000201075,-0.010904451,-5.377408534,3.78E-08,0.014632367
tha,rus,Thai,Russian,31,154171,243159,17694811,0.000127489,-0.010904451,-5.377408534,3.78E-08,0.014632367
ara,nld,Arabic,Dutch,31,366643,435128,17694811,7.12E-05,-0.023016626,-15.18672913,2.23E-52,0.003438327
nld,ara,Dutch,Arabic,31,435128,366643,17694811,8.46E-05,-0.023016626,-15.18672913,2.23E-52,0.003438327
bul,hbs,Bulgarian,Serbo-Croatian,30,1633,8152,17694811,0.003680079,0.008018374,0.723900818,0.2345737,30
hbs,bul,Serbo-Croatian,Bulgarian,30,8152,1633,17694811,0.018371096,0.008018374,0.723900818,0.2345737,30
fil,hat,Filipino (macrolanguage),Haitian,30,257611,2600,17694811,0.011538462,-0.000305663,-0.155139673,0.438355664,0.792555039
hat,fil,Haitian,Filipino (macrolanguage),30,2600,257611,17694811,0.000116455,-0.000305663,-0.155139673,0.438355664,0.792555039
fin,jpn,Finnish,Japanese,30,3856,2602426,17694811,1.15E-05,-0.005806296,-9.366892452,3.74E-21,0.052899525
jpn,fin,Japanese,Finnish,30,2602426,3856,17694811,0.007780083,-0.005806296,-9.366892452,3.74E-21,0.052899525
ita,tha,Italian,Thai,30,89242,154171,17694811,0.000194589,-0.006417266,-2.519750505,0.005872403,0.038582929
tha,ita,Thai,Italian,30,154171,89242,17694811,0.000336165,-0.006417266,-2.519750505,0.005872403,0.038582929
ara,urd,Arabic,Urdu,29,366643,488,17694811,0.05942623,0.001426979,0.864049319,0.193780682,2.868010298
urd,ara,Urdu,Arabic,29,488,366643,17694811,7.91E-05,0.001426979,0.864049319,0.193780682,2.868010298
fin,nld,Finnish,Dutch,29,3856,435128,17694811,6.66E-05,-0.001627221,-1.073382729,0.141550013,0.305836891
nld,fin,Dutch,Finnish,29,435128,3856,17694811,0.007520747,-0.001627221,-1.073382729,0.141550013,0.305836891
ell,tur,Modern Greek (1453-),Turkish,29,30609,233158,17694811,0.000124379,-0.004464302,-2.155664826,0.015555433,0.071902578
tur,ell,Turkish,Modern Greek (1453-),29,233158,30609,17694811,0.000947434,-0.004464302,-2.155664826,0.015555433,0.071902578
fas,urd,Persian,Urdu,28,2719,488,17694811,0.057377049,0.024244779,1.264127075,0.103146388,28
urd,fas,Urdu,Persian,28,488,2719,17694811,0.010297904,0.024244779,1.264127075,0.103146388,28
cat,sqi,Catalan,Albanian,28,32376,5155,17694811,0.00543162,0.001438795,0.258879515,0.397864925,2.96860284
sqi,cat,Albanian,Catalan,28,5155,32376,17694811,0.000864838,0.001438795,0.258879515,0.397864925,2.96860284
ita,swa,Italian,Swahili (macrolanguage),28,89242,5636,17694811,0.004968062,-1.90E-05,-0.005670952,0.497737636,0.98506226
swa,ita,Swahili (macrolanguage),Italian,28,5636,89242,17694811,0.000313754,-1.90E-05,-0.005670952,0.497737636,0.98506226
eng,mya,English,Burmese,28,10859465,49,17694811,0.571428571,-0.000144503,-0.47619062,0.316969296,0.931106696
mya,eng,Burmese,English,28,49,10859465,17694811,2.58E-06,-0.000144503,-0.47619062,0.316969296,0.931106696
fra,swa,French,Swahili (macrolanguage),28,147843,5636,17694811,0.004968062,-0.000664208,-0.255388665,0.39921164,0.59461
swa,fra,Swahili (macrolanguage),French,28,5636,147843,17694811,0.00018939,-0.000664208,-0.255388665,0.39921164,0.59461
fra,pol,French,Polish,28,147843,8207,17694811,0.003411722,-0.001169886,-0.449822804,0.326419437,0.408337024
pol,fra,Polish,French,28,8207,147843,17694811,0.00018939,-0.001169886,-0.449822804,0.326419437,0.408337024
deu,zho,German,Chinese,28,73897,24113,17694811,0.001161199,-0.001727046,-0.469474595,0.319365912,0.278051925
zho,deu,Chinese,German,28,24113,73897,17694811,0.000378906,-0.001727046,-0.469474595,0.319365912,0.278051925
fra,swe,French,Swedish,28,147843,36604,17694811,0.000764944,-0.003796555,-1.459789634,0.072175012,0.091553436
swe,fra,Swedish,French,28,36604,147843,17694811,0.00018939,-0.003796555,-1.459789634,0.072175012,0.091553436
deu,tha,German,Thai,28,73897,154171,17694811,0.000181617,-0.005807216,-2.280204825,0.011298451,0.043488503
tha,deu,Thai,German,28,154171,73897,17694811,0.000378906,-0.005807216,-2.280204825,0.011298451,0.043488503
cat,jpn,Catalan,Japanese,28,32376,2602426,17694811,1.08E-05,-0.017674015,-28.51622916,3.93E-179,0.005880339
jpn,cat,Japanese,Catalan,28,2602426,32376,17694811,0.000864838,-0.017674015,-28.51622916,3.93E-179,0.005880339
kat,rus,Georgian,Russian,27,416,243159,17694811,0.000111038,0.00213088,1.050759568,0.146685037,4.723087736
rus,kat,Russian,Georgian,27,243159,416,17694811,0.064903846,0.00213088,1.050759568,0.146685037,4.723087736
deu,hun,German,Hungarian,27,73897,4804,17694811,0.005620316,0.000369028,0.100315201,0.460047181,1.345798023
hun,deu,Hungarian,German,27,4804,73897,17694811,0.000365373,0.000369028,0.100315201,0.460047181,1.345798023
ita,pol,Italian,Polish,27,89242,8207,17694811,0.003289874,-0.000533234,-0.159293491,0.436719005,0.652312896
pol,ita,Polish,Italian,27,8207,89242,17694811,0.000302548,-0.000533234,-0.159293491,0.436719005,0.652312896
swa,tur,Swahili (macrolanguage),Turkish,27,5636,233158,17694811,0.000115801,-0.001312697,-0.633852641,0.263088808,0.36357029
tur,swa,Turkish,Swahili (macrolanguage),27,233158,5636,17694811,0.004790632,-0.001312697,-0.633852641,0.263088808,0.36357029
pol,rus,Polish,Russian,27,8207,243159,17694811,0.000111038,-0.00193397,-0.953661008,0.170128106,0.239405934
rus,pol,Russian,Polish,27,243159,8207,17694811,0.003289874,-0.00193397,-0.953661008,0.170128106,0.239405934
fra,zho,French,Chinese,27,147843,24113,17694811,0.001119728,-0.00293635,-1.129034308,0.129442597,0.134016317
zho,fra,Chinese,French,27,24113,147843,17694811,0.000182626,-0.00293635,-1.129034308,0.129442597,0.134016317
spa,vie,Spanish,Vietnamese,27,2043468,6150,17694811,0.004390244,-0.006481358,-9.265286669,9.74E-21,0.038016028
vie,spa,Vietnamese,Spanish,27,6150,2043468,17694811,1.32E-05,-0.006481358,-9.265286669,9.74E-21,0.038016028
nld,swe,Dutch,Swedish,27,435128,36604,17694811,0.000737624,-0.007012237,-4.625671375,1.87E-06,0.029996053
swe,nld,Swedish,Dutch,27,36604,435128,17694811,6.21E-05,-0.007012237,-4.625671375,1.87E-06,0.029996053
fin,ita,Finnish,Italian,26,3856,89242,17694811,0.000291343,0.000354168,0.10580081,0.457870316,1.336943199
ita,fin,Italian,Finnish,26,89242,3856,17694811,0.006742739,0.000354168,0.10580081,0.457870316,1.336943199
deu,vie,German,Vietnamese,26,73897,6150,17694811,0.004227642,1.49E-05,0.004043611,0.498386843,1.012318918
vie,deu,Vietnamese,German,26,6150,73897,17694811,0.000351841,1.49E-05,0.004043611,0.498386843,1.012318918
gle,spa,Irish,Spanish,26,359,2043468,17694811,1.27E-05,-0.000606869,-0.86751902,0.192828899,0.627129148
spa,gle,Spanish,Irish,26,2043468,359,17694811,0.072423398,-0.000606869,-0.86751902,0.192828899,0.627129148
fra,glg,French,Galician,26,147843,9302,17694811,0.002795098,-0.001400889,-0.538643607,0.295066802,0.334535472
glg,fra,Galician,French,26,9302,147843,17694811,0.000175862,-0.001400889,-0.538643607,0.295066802,0.334535472
ita,nor,Italian,Norwegian,26,89242,16500,17694811,0.001575758,-0.001495519,-0.446758002,0.327525441,0.312439574
nor,ita,Norwegian,Italian,26,16500,89242,17694811,0.000291343,-0.001495519,-0.446758002,0.327525441,0.312439574
fil,vie,Filipino (macrolanguage),Vietnamese,26,257611,6150,17694811,0.004227642,-0.001608253,-0.816273106,0.207172354,0.29038873
vie,fil,Vietnamese,Filipino (macrolanguage),26,6150,257611,17694811,0.000100927,-0.001608253,-0.816273106,0.207172354,0.29038873
jpn,swe,Japanese,Swedish,26,2602426,36604,17694811,0.000710305,-0.01881476,-30.35740071,1.09E-202,0.004829613
swe,jpn,Swedish,Japanese,26,36604,2602426,17694811,9.99E-06,-0.01881476,-30.35740071,1.09E-202,0.004829613
ces,ell,Czech,Modern Greek (1453-),25,24573,30609,17694811,0.000816753,-0.000639349,-0.111853232,0.455470256,0.588137153
ell,ces,Modern Greek (1453-),Czech,25,30609,24573,17694811,0.001017377,-0.000639349,-0.111853232,0.455470256,0.588137153
ces,swe,Czech,Swedish,25,24573,36604,17694811,0.000682985,-0.000862826,-0.165072889,0.434443762,0.4918121
swe,ces,Swedish,Czech,25,36604,24573,17694811,0.001017377,-0.000862826,-0.165072889,0.434443762,0.4918121
isl,msa,Icelandic,Malay (macrolanguage),25,588,1651705,17694811,1.51E-05,-0.001007171,-1.294402264,0.097763345,0.455487148
msa,isl,Malay (macrolanguage),Icelandic,25,1651705,588,17694811,0.042517007,-0.001007171,-1.294402264,0.097763345,0.455487148
rus,zho,Russian,Chinese,25,243159,24113,17694811,0.001036785,-0.004031413,-1.987944289,0.023409486,0.075447411
zho,rus,Chinese,Russian,25,24113,243159,17694811,0.000102813,-0.004031413,-1.987944289,0.023409486,0.075447411
ell,nld,Modern Greek (1453-),Dutch,25,30609,435128,17694811,5.75E-05,-0.006389988,-4.21518318,1.25E-05,0.033213892
nld,ell,Dutch,Modern Greek (1453-),25,435128,30609,17694811,0.000816753,-0.006389988,-4.21518318,1.25E-05,0.033213892
jpn,tel,Japanese,Telugu,24,2602426,102,17694811,0.235294118,0.000598039,0.964758576,0.167332919,1.599847581
tel,jpn,Telugu,Japanese,24,102,2602426,17694811,9.22E-06,0.000598039,0.964758576,0.167332919,1.599847581
eng,yid,English,Yiddish,24,10859465,25,17694811,0.96,0.000845376,2.785828177,0.002669563,1.564259248
yid,eng,Yiddish,English,24,25,10859465,17694811,2.21E-06,0.000845376,2.785828177,0.002669563,1.564259248
eng,khm,English,Central Khmer,24,10859465,37,17694811,0.648648649,0.000103767,0.341949804,0.366194338,1.056931925
khm,eng,Central Khmer,English,24,37,10859465,17694811,2.21E-06,0.000103767,0.341949804,0.366194338,1.056931925
fas,tur,Persian,Turkish,24,2719,233158,17694811,0.000102934,-0.000472899,-0.228344943,0.409689144,0.669880971
tur,fas,Turkish,Persian,24,233158,2719,17694811,0.008826775,-0.000472899,-0.228344943,0.409689144,0.669880971
ara,slk,Arabic,Slovak,24,366643,3657,17694811,0.006562756,-0.001428967,-0.865253298,0.193450172,0.316729716
slk,ara,Slovak,Arabic,24,3657,366643,17694811,6.55E-05,-0.001428967,-0.865253298,0.193450172,0.316729716
hin,jpn,Hindi,Japanese,24,1171,2602426,17694811,9.22E-06,-0.002907397,-4.69024072,1.36E-06,0.139354785
